District,Season,CropCategory,Crop,Year,Extent,Production,Yield_t_ha,Yield_IQR_Flag,AnchorMonth,AnchorDate,ForecastDate,WeatherWindowStart,WeatherWindowEnd,Rainfall_3M_mm,TempMean_3M_C,WindSpeed_3M_kmh,SolarRadiation_3M_MJ_m2,ET0_3M_mm,WeatherDays_3M,Leakage_Check,Weather_Completeness_OK,PrevMonthWholesalePrice_RsKg,NextMonthWholesalePrice_RsKg
National Total,Yala,Low Country Vegetable,Bandakka,2021,3555.2,36056.8,10.141989198919893,False,4,2021-04-01,2021-04-01,2021-01-01,2021-03-31,465.2629629629629,24.74477366255144,14.810617283950616,18.874930041152265,351.975925925926,90,True,True,71.666666666,90.33333333333331
National Total,Maha,Low Country Vegetable,Bandakka,2021,3959.5,37689.8,9.518828134865512,False,9,2021-09-01,2021-09-01,2021-06-01,2021-08-31,439.22592592592594,26.359460547504025,20.130676328502418,19.065225442834134,397.3851851851852,92,True,True,78.14423077000001,105.75
National Total,Yala,Low Country Vegetable,Bandakka,2022,3650.8,36181.0,9.910430590555494,False,4,2022-04-01,2022-04-01,2022-01-01,2022-03-31,218.6888888888889,24.939917695473245,15.03860082304527,20.776477366255143,389.06666666666666,90,True,True,46.75,178.0
National Total,Maha,Low Country Vegetable,Bandakka,2022,4173.1,37294.3,8.936833529031176,False,9,2022-09-01,2022-09-01,2022-06-01,2022-08-31,441.5444444444444,26.04786634460548,19.90024154589372,19.10479871175524,393.2974074074073,92,True,True,139.0,105.2
National Total,Yala,Low Country Vegetable,Bandakka,2023,3362.3,31350.8,9.32421259257056,False,4,2023-04-01,2023-04-01,2023-01-01,2023-03-31,322.77777777777777,24.415390946502058,15.564444444444444,20.30167489711934,375.3025925925926,90,True,True,157.75,142.2
National Total,Maha,Low Country Vegetable,Bandakka,2023,4474.6,38984.3,8.712354176909669,False,9,2023-09-01,2023-09-01,2023-06-01,2023-08-31,310.97777777777776,27.081119162640903,20.28341384863124,20.70217391304348,445.98481481481485,92,True,True,79.5,136.4
National Total,Yala,Low Country Vegetable,Bitter Gourd,2012,1899.0,18601.0,9.795155344918378,False,4,2012-04-01,2012-04-01,2012-01-01,2012-03-31,192.81481481481484,24.95641025641025,12.757427757427756,20.49129019129019,391.8188888888889,91,True,True,47.46333333333333,86.1125
National Total,Maha,Low Country Vegetable,Bitter Gourd,2012,2790.0,25502.0,9.140501792114696,False,9,2012-09-01,2012-09-01,2012-06-01,2012-08-31,271.4518518518518,26.73909017713365,21.219847020933976,19.93822463768116,436.74740740740737,92,True,True,58.88,89.28
National Total,Yala,Low Country Vegetable,Bitter Gourd,2013,2020.0,19265.0,9.537128712871286,False,4,2013-04-01,2013-04-01,2013-01-01,2013-03-31,479.52592592592606,24.79600823045267,13.010246913580248,18.615028806584363,349.47962962962964,90,True,True,71.35,66.64
National Total,Maha,Low Country Vegetable,Bitter Gourd,2013,2908.0,26876.0,9.242090784044017,False,9,2013-09-01,2013-09-01,2013-06-01,2013-08-31,378.27777777777777,26.0592190016103,20.98921095008052,19.044879227053144,398.4211111111111,92,True,True,31.75,51.6425
National Total,Yala,Low Country Vegetable,Bitter Gourd,2014,2020.0,19265.0,9.537128712871286,False,4,2014-04-01,2014-04-01,2014-01-01,2014-03-31,184.15185185185183,25.0727572016461,14.82559670781893,20.222942386831274,394.5177777777778,90,True,True,81.408,104.7875
National Total,Maha,Low Country Vegetable,Bitter Gourd,2014,2908.0,26876.0,9.242090784044017,False,9,2014-09-01,2014-09-01,2014-06-01,2014-08-31,278.4000000000001,26.76694847020934,21.32246376811594,19.86382045088567,429.4092592592592,92,True,True,32.5,82.5
National Total,Yala,Low Country Vegetable,Bitter Gourd,2015,1811.0,19446.0,10.73771397018222,False,4,2015-04-01,2015-04-01,2015-01-01,2015-03-31,210.2703703703704,24.861152263374485,12.927777777777775,20.35349794238683,382.60925925925926,90,True,True,77.38199999999999,92.0
National Total,Maha,Low Country Vegetable,Bitter Gourd,2015,2448.0,24061.0,9.828839869281046,False,9,2015-09-01,2015-09-01,2015-06-01,2015-08-31,302.1962962962963,26.68128019323672,20.14830917874396,20.037846215780995,419.2903703703704,92,True,True,74.396,129.47
National Total,Yala,Low Country Vegetable,Bitter Gourd,2016,1635.0,17382.0,10.63119266055046,False,4,2016-04-01,2016-04-01,2016-01-01,2016-03-31,103.57407407407408,26.05075295075295,13.816646316646317,20.77905982905984,412.6448148148148,91,True,True,71.8275,141.47
National Total,Maha,Low Country Vegetable,Bitter Gourd,2016,2200.0,24718.0,11.235454545454546,False,9,2016-09-01,2016-09-01,2016-06-01,2016-08-31,265.61481481481485,26.633494363929145,20.95998389694042,19.82029388083736,416.3766666666666,92,True,True,43.78,101.286
National Total,Yala,Low Country Vegetable,Bitter Gourd,2017,1323.0,16778.0,12.681783824640968,False,4,2017-04-01,2017-04-01,2017-01-01,2017-03-31,313.99999999999994,24.675596707818933,15.267901234567905,20.136897119341565,381.8151851851852,90,True,True,113.84523809523776,156.374725274725
National Total,Maha,Low Country Vegetable,Bitter Gourd,2017,1863.0,20234.0,10.860976918947934,False,9,2017-09-01,2017-09-01,2017-06-01,2017-08-31,394.8037037037038,26.89971819645732,20.743679549114336,18.80973027375201,408.6885185185185,92,True,True,96.5595238178571,194.9904762
National Total,Yala,Low Country Vegetable,Bitter Gourd,2018,1423.0,16496.0,11.592410400562192,False,4,2018-04-01,2018-04-01,2018-01-01,2018-03-31,228.24444444444447,24.822592592592592,15.51699588477366,19.673259259259257,376.64962962962966,90,True,True,71.93452381,211.75
National Total,Yala,Low Country Vegetable,Bitter Gourd,2019,1431.0,15966.0,11.157232704402515,False,4,2019-04-01,2019-04-01,2019-01-01,2019-03-31,233.3592592592593,25.21213991769548,15.569341563786008,20.74994650205761,397.587037037037,90,True,True,164.702380925,210.1282051
National Total,Yala,Low Country Vegetable,Bitter Gourd,2020,1917.2,20954.7,10.929845608178594,False,4,2020-04-01,2020-04-01,2020-01-01,2020-03-31,105.40370370370368,25.679527879527875,16.7981277981278,21.646776556776555,429.8481481481482,91,True,True,92.5,120.583333325
National Total,Yala,Low Country Vegetable,Bitter Gourd,2021,1655.1,22396.5,13.531810766721044,True,4,2021-04-01,2021-04-01,2021-01-01,2021-03-31,465.2629629629629,24.74477366255144,14.810617283950616,18.874930041152265,351.975925925926,90,True,True,138.07272728,112.33333333333331
National Total,Maha,Low Country Vegetable,Bitter Gourd,2021,2159.7,25156.8,11.648284483956106,False,9,2021-09-01,2021-09-01,2021-06-01,2021-08-31,439.22592592592594,26.359460547504025,20.130676328502418,19.065225442834134,397.3851851851852,92,True,True,108.938811175,203.5
National Total,Yala,Low Country Vegetable,Bitter Gourd,2022,1562.8,17357.0,11.106347581264398,False,4,2022-04-01,2022-04-01,2022-01-01,2022-03-31,218.6888888888889,24.939917695473245,15.03860082304527,20.776477366255143,389.06666666666666,90,True,True,214.5,369.6
National Total,Maha,Low Country Vegetable,Bitter Gourd,2022,1899.8,20788.2,10.942309716812296,False,9,2022-09-01,2022-09-01,2022-06-01,2022-08-31,441.5444444444444,26.04786634460548,19.90024154589372,19.10479871175524,393.2974074074073,92,True,True,280.51428572,349.8
