District,Year,Season,TotalDaylightDuration_s,TotalSunshineDuration_s,TotalPrecipitationSum_mm,TotalRainSum_mm,TotalPrecipitationHours_h,TotalShortwaveRadiationSum_MJm2,TotalEt0FaoEvapotranspiration_mm,MeanTemperature2mMax_C,MeanTemperature2mMin_C,MeanTemperature2mMean_C,MeanApparentTemperatureMax_C,MeanApparentTemperatureMin_C,MeanApparentTemperatureMean_C,MeanWindSpeed10mMax_kmh,MeanWindGusts10mMax_kmh,MeanWindDirection10mDominant,MostCommonWeatherCode,WeatherDays
Ampara,2023,Yala,6843553.03,5633520.0,386.8,386.8,484.0,3295.02,755.48,34.85163398692811,24.7359477124183,28.866013071895424,40.63790849673203,29.413071895424835,33.788888888888884,13.588888888888889,31.663398692810457,174.3202614379085,51.0,153
Anuradhapura,2012,Maha,9063460.99,6825265.92,1115.3,1115.3,1153.0,3552.67,789.51,29.83679245283019,22.993867924528303,25.7811320754717,33.79339622641509,26.631132075471697,29.371698113207547,15.01509433962264,34.306132075471695,117.01886792452831,63.0,212
Anuradhapura,2012,Yala,6868748.19,5936820.5,193.3,193.3,395.0,3164.17,803.04,32.50261437908497,25.069934640522874,27.952287581699345,35.44967320261438,28.201307189542486,30.749673202614378,22.759477124183004,51.08888888888889,223.09150326797385,51.0,153
Anuradhapura,2013,Maha,9063531.3,7311771.33,698.7,698.7,867.0,3699.77,842.46,29.81745283018868,22.756132075471697,25.75,32.99622641509434,26.025000000000002,28.757075471698112,16.86556603773585,37.9811320754717,128.83962264150944,51.0,212
Anuradhapura,2013,Yala,6868666.83,5697928.28,319.7,319.7,524.0,3007.26,711.56,31.44967320261438,24.96470588235294,27.444444444444443,35.0921568627451,28.23856209150327,30.615032679738565,21.81764705882353,48.47450980392157,223.2941176470588,51.0,153
Anuradhapura,2014,Maha,9063603.78,6791326.93,1193.7,1193.7,1310.0,3519.21,772.49,29.553301886792454,22.81179245283019,25.564622641509434,33.550000000000004,26.39575471698113,29.128773584905662,14.704716981132076,33.60990566037736,126.31132075471699,63.0,212
Anuradhapura,2014,Yala,6868589.12,5864583.29,394.2,394.2,485.0,3137.35,764.5,32.26993464052288,25.17124183006536,27.895424836601308,36.05294117647059,28.64313725490196,31.177777777777777,21.094771241830067,47.32156862745098,217.32679738562092,51.0,153
Anuradhapura,2015,Maha,9107604.19,7192808.05,999.2,999.2,1174.0,3653.35,815.24,30.41173708920188,23.41361502347418,26.306103286384975,34.48920187793427,27.338028169014084,30.061971830985915,15.119718309859154,34.5924882629108,119.0093896713615,51.0,213
Anuradhapura,2015,Yala,6868519.79,5879946.95,419.1,419.1,587.0,3063.51,708.22,31.54705882352941,24.91045751633987,27.490849673202618,35.66732026143791,28.59738562091503,31.10326797385621,19.972549019607843,44.605228758169936,215.6013071895425,51.0,153
Anuradhapura,2016,Maha,9063468.13,7543358.21,671.1,671.1,804.0,3961.13,902.6,30.629716981132077,22.891509433962263,26.03820754716981,34.16933962264151,26.23867924528302,29.25,16.471698113207548,36.658490566037734,129.1556603773585,51.0,212
Anuradhapura,2016,Yala,6868743.1,5701849.9,502.20000000000005,502.20000000000005,486.0,3052.73,720.02,31.972549019607843,25.330718954248365,27.964705882352945,36.05816993464052,29.066666666666666,31.551633986928103,20.10653594771242,45.41830065359477,216.33333333333334,51.0,153
Anuradhapura,2017,Maha,9063525.25,6950351.34,853.6,853.6,1133.0,3578.81,794.37,30.095283018867924,22.945283018867922,25.800943396226415,33.76603773584905,26.571698113207546,29.287264150943393,16.84198113207547,36.51603773584905,124.20754716981132,63.0,212
Anuradhapura,2017,Yala,6868666.56,5625056.34,298.5,298.5,496.0,2935.46,753.41,33.2,25.53333333333333,28.408496732026144,36.51960784313726,29.143790849673202,31.684313725490195,22.277124183006535,47.06797385620915,218.72549019607843,51.0,153
Anuradhapura,2018,Maha,9063607.62,7222119.82,1242.2,1242.2,1397.0,3781.53,843.63,30.647169811320754,22.94811320754717,26.025000000000002,34.64764150943396,26.78066037735849,29.71981132075472,15.403301886792454,33.367924528301884,119.16037735849056,51.0,212
Anuradhapura,2018,Yala,6868600.62,5409270.27,451.6,451.6,657.0,2925.91,709.96,32.05947712418301,24.79934640522876,27.52091503267974,35.529411764705884,28.151633986928104,30.73856209150327,22.647058823529413,48.0797385620915,207.84313725490196,51.0,153
Anuradhapura,2019,Maha,9107594.56,7419864.95,941.5,941.5,1300.0,3850.83,849.85,30.661502347417837,23.147417840375585,26.16338028169014,34.76854460093897,27.015962441314553,29.916431924882627,16.13849765258216,34.93755868544601,111.74647887323944,51.0,213
Anuradhapura,2019,Yala,6868544.39,5531524.12,269.9,269.9,585.0,2987.94,772.84,33.44705882352941,25.386274509803922,28.601307189542485,36.78235294117647,29.115032679738565,31.96535947712418,21.907843137254904,46.58431372549019,215.2483660130719,51.0,153
Anuradhapura,2020,Maha,9063440.89,6900397.15,1209.8,1209.8,1604.0,3607.63,792.1899999999999,30.02877358490566,23.21981132075472,25.900000000000002,33.884433962264154,26.89811320754717,29.505188679245286,17.635849056603774,37.950943396226414,125.83962264150944,63.0,212
Anuradhapura,2020,Yala,6868767.53,5476858.93,526.5,526.5,730.0,2944.57,696.0,32.40196078431372,25.09281045751634,27.9359477124183,36.574509803921565,29.118300653594773,31.839215686274507,19.715686274509803,41.499346405228756,202.84967320261438,51.0,153
Anuradhapura,2021,Maha,9063493.53,6986653.14,994.8,994.8,1306.0,3840.16,831.48,30.345283018867924,22.977358490566036,25.85424528301887,34.52924528301887,26.680660377358492,29.583962264150944,16.674056603773586,34.967924528301886,138.49528301886792,51.0,212
Anuradhapura,2021,Yala,6868702.17,5502231.2,473.40000000000003,473.40000000000003,831.0,2968.66,699.44,31.925490196078435,24.816339869281045,27.51699346405229,35.966013071895425,28.45098039215686,31.09281045751634,20.690196078431374,43.76797385620915,213.11764705882354,51.0,153
Anuradhapura,2022,Maha,9063552.75,6845973.96,994.4,994.4,1202.0,3881.53,831.95,29.972641509433963,22.5122641509434,25.449528301886794,33.97830188679245,25.994811320754714,28.961320754716983,16.49811320754717,34.217924528301886,129.74528301886792,51.0,212
Anuradhapura,2022,Yala,6868635.31,5319557.27,580.3,580.3,791.0,2986.95,686.22,31.5718954248366,24.51111111111111,27.111764705882354,35.79477124183007,27.847712418300652,30.618954248366013,21.00980392156863,42.45751633986928,217.33986928104576,51.0,153
Anuradhapura,2023,Maha,9107547.87,6975157.44,1375.8,1375.8,1462.0,3891.69,862.42,31.281220657276993,23.218309859154928,26.338967136150234,35.693896713615025,27.13849765258216,30.238967136150233,16.499530516431925,35.46384976525822,120.37089201877934,63.0,213
Anuradhapura,2023,Yala,6868568.08,5489043.72,392.2,392.2,436.0,3158.3,772.25,33.14836601307189,25.00457516339869,28.12679738562091,37.41568627450981,28.660784313725493,31.753594771241833,20.34967320261438,41.46666666666666,206.99346405228758,51.0,153
Badulla,2012,Maha,9092986.84,6905138.38,1806.4,1806.4,1628.0,3657.84,732.36,26.098113207547172,19.793396226415094,22.453301886792456,29.76933962264151,22.20801886792453,25.26933962264151,9.506603773584906,30.72877358490566,117.93867924528301,63.0,212
Badulla,2012,Yala,6837059.74,5851840.08,399.5,399.5,439.0,3201.06,781.58,30.875816993464053,21.358823529411765,25.558823529411764,32.99411764705883,23.197385620915032,27.250980392156862,14.156209150326799,40.601960784313725,246.83660130718954,51.0,153
Badulla,2013,Maha,9093045.87,7511266.7,906.1,906.1,1091.0,4004.51,803.28,26.30424528301887,19.347641509433963,22.40566037735849,29.408962264150944,21.41745283018868,24.760849056603774,10.8688679245283,33.37877358490566,129.8820754716981,51.0,212
Badulla,2013,Yala,6836991.36,5676356.66,411.90000000000003,411.90000000000003,537.0,3069.3,696.45,29.418954248366017,21.266013071895422,24.864705882352943,32.38235294117647,23.400653594771242,27.15032679738562,13.260130718954247,39.44117647058823,246.22875816993465,51.0,153
Badulla,2014,Maha,9093106.73,7028661.34,1727.6,1727.6,1451.0,3788.26,743.82,25.816981132075473,19.494811320754714,22.204716981132073,29.599999999999998,21.814622641509434,25.008018867924527,9.480660377358491,30.704245283018867,114.33018867924528,63.0,212
Badulla,2014,Yala,6836926.12,5796814.83,305.1,305.1,404.0,3128.66,716.41,29.700000000000003,21.113071895424838,24.94967320261438,32.5797385620915,23.269934640522877,27.188888888888886,13.70392156862745,40.652941176470584,237.23529411764707,51.0,153
Badulla,2015,Maha,9137041.9,7324389.04,1240.7,1240.7,1326.0,3884.22,765.05,26.46807511737089,19.990610328638496,22.74929577464789,30.342253521126757,22.638967136150235,25.769483568075117,10.065727699530516,31.95774647887324,118.9906103286385,63.0,213
Badulla,2015,Yala,6836867.96,5735188.4,855.4,855.4,687.0,3131.57,683.88,29.262745098039215,20.861437908496733,24.55751633986928,32.85098039215686,23.23660130718954,27.255555555555556,12.456209150326798,37.52549019607843,243.7058823529412,51.0,153
Badulla,2016,Maha,9092992.8,7436616.42,1035.7,1035.7,1328.0,4035.19,846.97,27.279716981132076,19.253773584905662,22.870754716981132,30.45,21.044811320754718,25.149056603773587,10.291037735849056,30.97688679245283,224.31132075471697,51.0,212
Badulla,2016,Yala,6837055.41,5656361.19,513.0,513.0,585.0,3060.79,697.12,29.967973856209152,21.552941176470586,25.27843137254902,32.91045751633987,23.96013071895425,27.72091503267974,13.205882352941176,39.96078431372549,233.3921568627451,51.0,153
Badulla,2017,Maha,9093040.73,6666878.2700000005,1423.8,1423.8,1784.0,3589.47,694.86,25.93867924528302,18.908490566037734,22.119811320754714,30.102358490566036,21.045754716981133,25.164622641509432,9.652358490566037,29.258490566037736,246.52830188679246,51.0,212
