MonthDate,Crop,WholesalePrice_RsKg,PrevMonthWholesalePrice_RsKg,NextMonthWholesalePrice_RsKg
2015-09-01,Bandakka,43.900000000000006,28.694,57.2375
2015-10-01,Bandakka,57.2375,43.900000000000006,81.764
2015-11-01,Bandakka,81.764,57.2375,112.00666666666666
2015-12-01,Bandakka,112.00666666666666,81.764,96.965
2016-01-01,Bandakka,96.965,112.00666666666666,70.70599999999999
2016-02-01,Bandakka,70.70599999999999,96.965,56.67
2016-03-01,Bandakka,56.67,70.70599999999999,53.6925
2016-04-01,Bandakka,53.6925,56.67,78.5
2016-05-01,Bandakka,78.5,53.6925,58.3725
2016-06-01,Bandakka,58.3725,78.5,46.3625
2016-07-01,Bandakka,46.3625,58.3725,24.524
2016-08-01,Bandakka,24.524,46.3625,46.2375
2016-09-01,Bandakka,46.2375,24.524,60.831999999999994
2016-10-01,Bandakka,60.831999999999994,46.2375,53.6825
2016-11-01,Bandakka,53.6825,60.831999999999994,43.335
2016-12-01,Bandakka,43.335,53.6825,57.444
2017-01-01,Bandakka,57.444,43.335,93.125
2017-02-01,Bandakka,93.125,57.444,90.89743589743588
2017-03-01,Bandakka,90.89743589743588,93.125,65.2083333325
2017-04-01,Bandakka,65.2083333325,90.89743589743588,74.44230769230765
2017-05-01,Bandakka,74.44230769230765,65.2083333325,71.56249999916665
2017-06-01,Bandakka,71.56249999916665,74.44230769230765,53.93589743666662
2017-07-01,Bandakka,53.93589743666662,71.56249999916665,33.73397435814099
2017-08-01,Bandakka,33.73397435814099,53.93589743666662,48.12499999916665
2017-09-01,Bandakka,48.12499999916665,33.73397435814099,67.16666666733333
2017-10-01,Bandakka,67.16666666733333,48.12499999916665,78.1249999975
2017-11-01,Bandakka,78.1249999975,67.16666666733333,87.2916666675
2017-12-01,Bandakka,87.2916666675,78.1249999975,102.30066667999999
2018-01-01,Bandakka,102.30066667999999,87.2916666675,52.196969695
2018-02-01,Bandakka,52.196969695,102.30066667999999,33.541666665
2018-03-01,Bandakka,33.541666665,52.196969695,54.75
2018-04-01,Bandakka,54.75,33.541666665,97.291666685
2018-05-01,Bandakka,97.291666685,54.75,76.25
2018-06-01,Bandakka,76.25,97.291666685,58.333333335
2018-07-01,Bandakka,58.333333335,76.25,
2018-08-01,Bandakka,,58.333333335,
2018-09-01,Bandakka,,,
2018-10-01,Bandakka,,,
2018-11-01,Bandakka,,,30.5
2018-12-01,Bandakka,30.5,,44.5
2019-01-01,Bandakka,44.5,30.5,47.0
2019-02-01,Bandakka,47.0,44.5,67.25
2019-03-01,Bandakka,67.25,47.0,69.6
2019-04-01,Bandakka,69.6,67.25,69.5
2019-05-01,Bandakka,69.5,69.6,106.375
2019-06-01,Bandakka,106.375,69.5,170.0
2019-07-01,Bandakka,170.0,106.375,
2019-08-01,Bandakka,,170.0,
2019-09-01,Bandakka,,,
2019-10-01,Bandakka,,,
2019-11-01,Bandakka,,,181.0
2019-12-01,Bandakka,181.0,,172.5
2020-01-01,Bandakka,172.5,181.0,76.25
2020-02-01,Bandakka,76.25,172.5,26.5
2020-03-01,Bandakka,26.5,76.25,
2020-04-01,Bandakka,,26.5,64.4375
2020-05-01,Bandakka,64.4375,,52.666666666000005
2020-06-01,Bandakka,52.666666666000005,64.4375,48.25
2020-07-01,Bandakka,48.25,52.666666666000005,47.49090909
2020-08-01,Bandakka,47.49090909,48.25,59.666666667499996
2020-09-01,Bandakka,59.666666667499996,47.49090909,
2020-10-01,Bandakka,,59.666666667499996,
2020-11-01,Bandakka,,,
2020-12-01,Bandakka,,,143.75
2021-01-01,Bandakka,143.75,,128.613636375
2021-02-01,Bandakka,128.613636375,143.75,71.666666666
2021-03-01,Bandakka,71.666666666,128.613636375,66.875
2021-04-01,Bandakka,66.875,71.666666666,90.33333333333333
2021-05-01,Bandakka,90.33333333333333,66.875,101.5
2021-06-01,Bandakka,101.5,90.33333333333333,101.75
2021-07-01,Bandakka,101.75,101.5,78.14423077000001
2021-08-01,Bandakka,78.14423077000001,101.75,47.0
2021-09-01,Bandakka,47.0,78.14423077000001,105.75
2021-10-01,Bandakka,105.75,47.0,133.0
2021-11-01,Bandakka,133.0,105.75,166.25
2021-12-01,Bandakka,166.25,133.0,158.71111112
2022-01-01,Bandakka,158.71111112,166.25,136.625
2022-02-01,Bandakka,136.625,158.71111112,46.75
2022-03-01,Bandakka,46.75,136.625,74.25
2022-04-01,Bandakka,74.25,46.75,178.0
2022-05-01,Bandakka,178.0,74.25,239.0
2022-06-01,Bandakka,239.0,178.0,230.75
2022-07-01,Bandakka,230.75,239.0,139.0
2022-08-01,Bandakka,139.0,230.75,118.0
2022-09-01,Bandakka,118.0,139.0,105.2
2022-10-01,Bandakka,105.2,118.0,142.25
2022-11-01,Bandakka,142.25,105.2,124.0
2022-12-01,Bandakka,124.0,142.25,173.4
2023-01-01,Bandakka,173.4,124.0,198.75
2023-02-01,Bandakka,198.75,173.4,157.75
2023-03-01,Bandakka,157.75,198.75,102.20454545
2023-04-01,Bandakka,102.20454545,157.75,142.2
2023-05-01,Bandakka,142.2,102.20454545,148.25
2023-06-01,Bandakka,148.25,142.2,120.0
2023-07-01,Bandakka,120.0,148.25,79.5
2023-08-01,Bandakka,79.5,120.0,83.75
2023-09-01,Bandakka,83.75,79.5,136.4
2023-10-01,Bandakka,136.4,83.75,180.75
2023-11-01,Bandakka,180.75,136.4,153.5909091
2023-12-01,Bandakka,153.5909091,180.75,273.6
2024-01-01,Bandakka,273.6,153.5909091,222.25
2024-02-01,Bandakka,222.25,273.6,81.75
2024-03-01,Bandakka,81.75,222.25,76.0
2024-04-01,Bandakka,76.0,81.75,110.0
2024-05-01,Bandakka,110.0,76.0,123.0
2024-06-01,Bandakka,123.0,110.0,135.4
2024-07-01,Bandakka,135.4,123.0,78.25
2024-08-01,Bandakka,78.25,135.4,76.6
2024-09-01,Bandakka,76.6,78.25,108.72727272750001
2024-10-01,Bandakka,108.72727272750001,76.6,106.25
2024-11-01,Bandakka,106.25,108.72727272750001,146.0
2024-12-01,Bandakka,146.0,106.25,184.0
2025-01-01,Bandakka,184.0,146.0,183.166666675
2025-02-01,Bandakka,183.166666675,184.0,221.0
2025-03-01,Bandakka,221.0,183.166666675,
2012-01-01,Beans,64.8,,49.515
2012-02-01,Beans,49.515,64.8,46.86333333333334
2012-03-01,Beans,46.86333333333334,49.515,70.8
2012-04-01,Beans,70.8,46.86333333333334,71.8425
2012-05-01,Beans,71.8425,70.8,127.1675
2012-06-01,Beans,127.1675,71.8425,73.926
2012-07-01,Beans,73.926,127.1675,73.9975
2012-08-01,Beans,73.9975,73.926,79.5
2012-09-01,Beans,79.5,73.9975,125.732
2012-10-01,Beans,125.732,79.5,174.9
2012-11-01,Beans,174.9,125.732,66.944
2012-12-01,Beans,66.944,174.9,159.32999999999998
2013-01-01,Beans,159.32999999999998,66.944,103.75
2013-02-01,Beans,103.75,159.32999999999998,76.7825
2013-03-01,Beans,76.7825,103.75,51.5625
2013-04-01,Beans,51.5625,76.7825,78.0
2013-05-01,Beans,78.0,51.5625,106.7375
2013-06-01,Beans,106.7375,78.0,83.4
2013-07-01,Beans,83.4,106.7375,88.8325
2013-08-01,Beans,88.8325,83.4,73.218
2013-09-01,Beans,73.218,88.8325,80.3575
2013-10-01,Beans,80.3575,73.218,101.1675
2013-11-01,Beans,101.1675,80.3575,85.126
2013-12-01,Beans,85.126,101.1675,54.78
2014-01-01,Beans,54.78,85.126,58.11
2014-02-01,Beans,58.11,54.78,58.394000000000005
2014-03-01,Beans,58.394000000000005,58.11,99.33500000000001
2014-04-01,Beans,99.33500000000001,58.394000000000005,106.96000000000001
2014-05-01,Beans,106.96000000000001,99.33500000000001,110.22
2014-06-01,Beans,110.22,106.96000000000001,71.455
2014-07-01,Beans,71.455,110.22,73.6575
2014-08-01,Beans,73.6575,71.455,105.654
2014-09-01,Beans,105.654,73.6575,128.5
2014-10-01,Beans,128.5,105.654,97.6225
2014-11-01,Beans,97.6225,128.5,188.8
2014-12-01,Beans,188.8,97.6225,186.1925
2015-01-01,Beans,186.1925,188.8,179.1125
2015-02-01,Beans,179.1125,186.1925,79.018
2015-03-01,Beans,79.018,179.1125,97.955
2015-04-01,Beans,97.955,79.018,112.68
2015-05-01,Beans,112.68,97.955,169.548
2015-06-01,Beans,169.548,112.68,121.94
2015-07-01,Beans,121.94,169.548,83.062
2015-08-01,Beans,83.062,121.94,109.055
2015-09-01,Beans,109.055,83.062,155.7975
2015-10-01,Beans,155.7975,109.055,211.252
2015-11-01,Beans,211.252,155.7975,233.89333333333335
2015-12-01,Beans,233.89333333333335,211.252,158.015
2016-01-01,Beans,158.015,233.89333333333335,95.80199999999999
2016-02-01,Beans,95.80199999999999,158.015,91.25
2016-03-01,Beans,91.25,95.80199999999999,103.01
2016-04-01,Beans,103.01,91.25,172.342
2016-05-01,Beans,172.342,103.01,147.1825
2016-06-01,Beans,147.1825,172.342,138.4425
2016-07-01,Beans,138.4425,147.1825,108.15
2016-08-01,Beans,108.15,138.4425,112.4375
2016-09-01,Beans,112.4375,108.15,148.0
2016-10-01,Beans,148.0,112.4375,177.405
2016-11-01,Beans,177.405,148.0,146.2525
2016-12-01,Beans,146.2525,177.405,57.194
2017-01-01,Beans,57.194,146.2525,136.25
2017-02-01,Beans,136.25,57.194,134.31249999999974
2017-03-01,Beans,134.31249999999974,136.25,104.16666666749975
2017-04-01,Beans,104.16666666749975,134.31249999999974,126.83333333333321
2017-05-01,Beans,126.83333333333321,104.16666666749975,127.2916666749995
2017-06-01,Beans,127.2916666749995,126.83333333333321,104.33333332666658
2017-07-01,Beans,104.33333332666658,127.2916666749995,106.66666666583316
2017-08-01,Beans,106.66666666583316,104.33333332666658,115.10416665833333
2017-09-01,Beans,115.10416665833333,106.66666666583316,118.83333334599999
2017-10-01,Beans,118.83333334599999,115.10416665833333,120.87121213
2017-11-01,Beans,120.87121213,118.83333334599999,223.95250585
